City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,brookings,44.3114,-96.7984,63.37,80.0,40.0,12.66,US,1717329792.0
112,kununurra,-15.7667,128.7333,71.58,83.0,5.0,0.0,AU,1717329794.0
113,winnemucca,40.973,-117.7357,53.65,50.0,0.0,9.22,US,1717329795.0
114,tolanaro,-25.0319,46.9987,78.87,73.0,0.0,11.5,MG,1717329796.0
115,baturaja,-4.1333,104.1667,78.12,88.0,93.0,0.83,ID,1717329798.0
116,karratha,-20.7377,116.8463,77.27,69.0,27.0,15.93,AU,1717329799.0
117,east london,-33.0153,27.9116,63.54,100.0,100.0,12.66,ZA,1717329745.0
118,tiksi,71.6872,128.8694,42.1,72.0,70.0,1.59,RU,1717329802.0
119,koksovyy,48.1967,40.5989,85.06,31.0,48.0,10.54,RU,1717329803.0
120,tofol,5.3248,163.0078,82.96,80.0,84.0,12.53,FM,1717329804.0
121,prado,-17.3411,-39.2208,76.24,81.0,53.0,10.87,BR,1717329806.0
122,saraipali,21.3333,83.0,104.72,23.0,48.0,10.92,IN,1717329807.0
123,gadzhiyevo,69.2551,33.3362,46.83,85.0,98.0,6.58,RU,1717329765.0
124,revda,56.801,59.9303,71.67,30.0,20.0,6.31,RU,1717329809.0
125,tyukhtet,56.5389,89.3011,58.87,50.0,43.0,5.01,RU,1717329811.0
126,rangkasbitung,-6.3591,106.2494,79.93,88.0,98.0,2.84,ID,1717329812.0
127,port elizabeth,-33.918,25.5701,65.1,96.0,100.0,24.16,ZA,1717329813.0
128,khandyga,62.6667,135.6,53.65,48.0,56.0,4.21,RU,1717329815.0
129,tuensang,26.2833,94.8333,70.95,90.0,79.0,0.76,IN,1717329816.0
130,kolonia,50.9333,6.95,64.94,79.0,100.0,9.22,DE,1717329673.0
131,yur'yevets,57.3201,43.1041,64.98,77.0,31.0,3.56,RU,1717329697.0
132,ghat,24.9647,10.1728,104.0,11.0,48.0,8.97,LY,1717329820.0
133,shumikha,55.2261,63.2961,68.67,41.0,57.0,8.77,RU,1717329821.0
134,machico,32.7,-16.7667,75.0,79.0,40.0,9.22,PT,1717329823.0
135,touros,-5.1989,-35.4608,80.15,85.0,56.0,14.83,BR,1717329824.0
136,margaret river,-33.95,115.0667,61.05,65.0,95.0,19.33,AU,1717329825.0
137,obolo-eke (1),6.8833,7.6333,78.4,82.0,100.0,3.2,NG,1717329827.0
138,sheridan,44.8333,-106.9173,55.31,74.0,0.0,5.75,US,1717329828.0
139,la passe,45.5549,-0.8967,62.83,75.0,89.0,11.48,FR,1717329829.0
140,jumla,29.2747,82.1838,56.43,80.0,100.0,3.78,NP,1717329830.0
141,kodiak,57.79,-152.4072,44.11,93.0,100.0,10.36,US,1717329832.0
142,maragogi,-9.0122,-35.2225,81.21,79.0,43.0,11.41,BR,1717329742.0
143,fort bragg,35.139,-79.006,69.53,78.0,75.0,6.91,US,1717329834.0
144,lodwar,3.1191,35.5973,95.49,34.0,86.0,11.18,KE,1717329836.0
145,anloga,5.7947,0.8973,83.71,77.0,98.0,12.55,GH,1717329837.0
146,longyearbyen,78.2186,15.6401,40.84,81.0,75.0,3.44,SJ,1717329838.0
147,tura,25.5198,90.2201,80.78,88.0,26.0,7.11,IN,1717329840.0
148,kill devil hills,36.0307,-75.676,71.98,76.0,0.0,4.61,US,1717329841.0
149,copala,16.65,-98.9833,79.88,69.0,100.0,2.75,MX,1717329842.0
